target,location,truth_date,year_week,value
ILI incidence,AT,2022-12-04,2022-W48,4105.3
ILI incidence,AT,2022-11-27,2022-W47,3043.8
ILI incidence,AT,2022-11-20,2022-W46,2665.7
ILI incidence,AT,2022-11-13,2022-W45,2335.6
ILI incidence,AT,2022-11-06,2022-W44,1474.3
ILI incidence,AT,2022-10-30,2022-W43,1274.3
ILI incidence,AT,2022-10-23,2022-W42,1685.2
ILI incidence,AT,2022-10-16,2022-W41,1740.8
ILI incidence,AT,2022-10-09,2022-W40,1183.0
ILI incidence,AT,2022-04-17,2022-W15,540.7
ILI incidence,AT,2022-04-10,2022-W14,1207.7
ILI incidence,AT,2022-04-03,2022-W13,1044.6
ILI incidence,AT,2022-03-27,2022-W12,1387.2
ILI incidence,AT,2022-03-20,2022-W11,1264.3
ILI incidence,AT,2022-03-06,2022-W09,996.2
ILI incidence,AT,2022-02-27,2022-W08,757.8
ILI incidence,AT,2022-02-20,2022-W07,1042.0
ILI incidence,AT,2022-02-13,2022-W06,1054.1
ILI incidence,AT,2022-02-06,2022-W05,1260.2
ILI incidence,AT,2022-01-30,2022-W04,1128.0
ILI incidence,AT,2022-01-23,2022-W03,996.7
ILI incidence,AT,2022-01-16,2022-W02,1122.6
ILI incidence,AT,2022-01-09,2022-W01,1068.6
ILI incidence,AT,2022-01-02,2021-W52,662.3
ILI incidence,AT,2021-12-26,2021-W51,518.0
ILI incidence,AT,2021-12-19,2021-W50,1765.8
ILI incidence,AT,2021-12-12,2021-W49,735.2
ILI incidence,AT,2021-12-05,2021-W48,865.2
ILI incidence,AT,2021-11-28,2021-W47,1067.6
ILI incidence,AT,2021-11-21,2021-W46,1220.0
ILI incidence,AT,2021-11-14,2021-W45,1159.8
ILI incidence,AT,2021-11-07,2021-W44,1388.5
ILI incidence,AT,2021-10-31,2021-W43,1558.6
ILI incidence,AT,2021-10-24,2021-W42,1689.7
ILI incidence,AT,2021-10-17,2021-W41,1365.5
ILI incidence,AT,2021-10-10,2021-W40,711.3
ILI incidence,AT,2021-03-28,2021-W12,331.7
ILI incidence,AT,2021-03-21,2021-W11,318.3
ILI incidence,AT,2021-03-14,2021-W10,497.5
ILI incidence,AT,2021-03-07,2021-W09,407.6
ILI incidence,AT,2021-02-28,2021-W08,365.4
ILI incidence,AT,2021-02-21,2021-W07,310.3
ILI incidence,AT,2021-02-14,2021-W06,286.0
ILI incidence,AT,2021-02-07,2021-W05,320.8
ILI incidence,AT,2021-01-31,2021-W04,421.9
ILI incidence,AT,2021-01-24,2021-W03,354.3
ILI incidence,AT,2021-01-17,2021-W02,357.4
ILI incidence,AT,2021-01-10,2021-W01,335.8
ILI incidence,AT,2020-12-13,2020-W50,533.2
ILI incidence,AT,2020-12-06,2020-W49,671.3
ILI incidence,AT,2020-11-29,2020-W48,603.1
ILI incidence,AT,2020-11-22,2020-W47,789.7
ILI incidence,AT,2020-11-15,2020-W46,995.0
ILI incidence,AT,2020-11-08,2020-W45,1013.5
ILI incidence,AT,2020-11-01,2020-W44,650.5
ILI incidence,AT,2020-10-25,2020-W43,801.6
ILI incidence,AT,2020-10-18,2020-W42,827.1
ILI incidence,AT,2020-10-11,2020-W41,344.8
ILI incidence,AT,2020-10-04,2020-W40,488.8
ILI incidence,BE,2024-10-20,2024-W42,212.5
ILI incidence,BE,2024-10-13,2024-W41,223.1
ILI incidence,BE,2024-10-06,2024-W40,226.7
ILI incidence,BE,2024-09-29,2024-W39,174.7
ILI incidence,BE,2024-09-22,2024-W38,194.6
ILI incidence,BE,2024-09-15,2024-W37,84.6
ILI incidence,BE,2024-09-08,2024-W36,82.1
ILI incidence,BE,2024-09-01,2024-W35,50.5
ILI incidence,BE,2024-08-25,2024-W34,60.9
ILI incidence,BE,2024-08-18,2024-W33,78.8
ILI incidence,BE,2024-08-11,2024-W32,52.7
ILI incidence,BE,2024-08-04,2024-W31,81.8
ILI incidence,BE,2024-07-28,2024-W30,72.7
ILI incidence,BE,2024-07-21,2024-W29,120.3
ILI incidence,BE,2024-07-14,2024-W28,66.5
ILI incidence,BE,2024-07-07,2024-W27,116.3
ILI incidence,BE,2024-06-30,2024-W26,103.7
ILI incidence,BE,2024-06-23,2024-W25,96.0
ILI incidence,BE,2024-06-16,2024-W24,68.8
ILI incidence,BE,2024-06-09,2024-W23,56.6
ILI incidence,BE,2024-06-02,2024-W22,27.5
ILI incidence,BE,2024-05-26,2024-W21,64.4
ILI incidence,BE,2024-05-19,2024-W20,38.6
ILI incidence,BE,2024-05-12,2024-W19,23.9
ILI incidence,BE,2024-05-05,2024-W18,44.1
ILI incidence,BE,2024-04-28,2024-W17,25.7
ILI incidence,BE,2024-04-21,2024-W16,67.3
ILI incidence,BE,2024-04-14,2024-W15,72.0
ILI incidence,BE,2024-04-07,2024-W14,120.6
ILI incidence,BE,2024-03-31,2024-W13,118.1
ILI incidence,BE,2024-03-24,2024-W12,93.9
ILI incidence,BE,2024-03-17,2024-W11,191.4
ILI incidence,BE,2024-03-10,2024-W10,154.0
ILI incidence,BE,2024-03-03,2024-W09,287.1
ILI incidence,BE,2024-02-25,2024-W08,416.2
ILI incidence,BE,2024-02-18,2024-W07,350.4
ILI incidence,BE,2024-02-11,2024-W06,701.2
ILI incidence,BE,2024-02-04,2024-W05,732.3
ILI incidence,BE,2024-01-28,2024-W04,787.6
ILI incidence,BE,2024-01-21,2024-W03,395.9
ILI incidence,BE,2024-01-14,2024-W02,366.0
ILI incidence,BE,2024-01-07,2024-W01,264.1
ILI incidence,BE,2023-12-31,2023-W52,191.8
ILI incidence,BE,2023-12-24,2023-W51,533.4
ILI incidence,BE,2023-12-17,2023-W50,466.9
ILI incidence,BE,2023-12-10,2023-W49,296.7
ILI incidence,BE,2023-12-03,2023-W48,276.3
ILI incidence,BE,2023-11-26,2023-W47,252.5
ILI incidence,BE,2023-11-19,2023-W46,206.9
ILI incidence,BE,2023-11-12,2023-W45,209.2
ILI incidence,BE,2023-11-05,2023-W44,173.7
ILI incidence,BE,2023-10-29,2023-W43,135.6
ILI incidence,BE,2023-10-22,2023-W42,179.6
ILI incidence,BE,2023-10-15,2023-W41,168.0
ILI incidence,BE,2023-10-08,2023-W40,176.7
ILI incidence,BE,2023-10-01,2023-W39,164.9
ILI incidence,BE,2023-09-24,2023-W38,167.2
ILI incidence,BE,2023-09-17,2023-W37,165.4
ILI incidence,BE,2023-09-10,2023-W36,156.5
ILI incidence,BE,2023-09-03,2023-W35,89.9
ILI incidence,BE,2023-08-27,2023-W34,95.0
ILI incidence,BE,2023-08-20,2023-W33,92.0
ILI incidence,BE,2023-08-13,2023-W32,32.7
ILI incidence,BE,2023-08-06,2023-W31,63.5
ILI incidence,BE,2023-07-30,2023-W30,41.2
ILI incidence,BE,2023-07-23,2023-W29,35.5
ILI incidence,BE,2023-07-16,2023-W28,13.5
ILI incidence,BE,2023-07-09,2023-W27,55.8
ILI incidence,BE,2023-07-02,2023-W26,32.2
ILI incidence,BE,2023-06-25,2023-W25,44.3
ILI incidence,BE,2023-06-18,2023-W24,38.2
ILI incidence,BE,2023-06-11,2023-W23,63.8
ILI incidence,BE,2023-06-04,2023-W22,35.8
ILI incidence,BE,2023-05-28,2023-W21,77.7
ILI incidence,BE,2023-05-21,2023-W20,50.5
ILI incidence,BE,2023-05-14,2023-W19,74.6
ILI incidence,BE,2023-05-07,2023-W18,53.5
ILI incidence,BE,2023-04-30,2023-W17,39.2
ILI incidence,BE,2023-04-23,2023-W16,111.4
ILI incidence,BE,2023-04-16,2023-W15,77.3
ILI incidence,BE,2023-04-09,2023-W14,139.0
ILI incidence,BE,2023-04-02,2023-W13,284.7
ILI incidence,BE,2023-03-26,2023-W12,346.8
ILI incidence,BE,2023-03-19,2023-W11,317.1
ILI incidence,BE,2023-03-12,2023-W10,373.8
ILI incidence,BE,2023-03-05,2023-W09,363.8
ILI incidence,BE,2023-02-26,2023-W08,368.0
ILI incidence,BE,2023-02-19,2023-W07,583.7
ILI incidence,BE,2023-02-12,2023-W06,542.7
ILI incidence,BE,2023-02-05,2023-W05,571.2
ILI incidence,BE,2023-01-29,2023-W04,404.5
ILI incidence,BE,2023-01-22,2023-W03,370.5
ILI incidence,BE,2023-01-15,2023-W02,457.5
ILI incidence,BE,2023-01-08,2023-W01,651.6
ILI incidence,BE,2023-01-01,2022-W52,802.6
ILI incidence,BE,2022-12-25,2022-W51,826.0
ILI incidence,BE,2022-12-18,2022-W50,658.6
ILI incidence,BE,2022-12-11,2022-W49,257.3
ILI incidence,BE,2022-12-04,2022-W48,213.4
ILI incidence,BE,2022-11-27,2022-W47,198.7
ILI incidence,BE,2022-11-20,2022-W46,141.0
ILI incidence,BE,2022-11-13,2022-W45,96.8
ILI incidence,BE,2022-11-06,2022-W44,75.4
ILI incidence,BE,2022-10-30,2022-W43,93.9
ILI incidence,BE,2022-10-23,2022-W42,178.8
ILI incidence,BE,2022-10-16,2022-W41,140.9
ILI incidence,BE,2022-10-09,2022-W40,192.2
ILI incidence,BE,2022-10-02,2022-W39,179.0
ILI incidence,BE,2022-09-25,2022-W38,203.6
ILI incidence,BE,2022-09-18,2022-W37,120.5
ILI incidence,BE,2022-09-11,2022-W36,50.0
ILI incidence,BE,2022-09-04,2022-W35,94.1
ILI incidence,BE,2022-08-28,2022-W34,88.4
ILI incidence,BE,2022-08-21,2022-W33,65.6
ILI incidence,BE,2022-08-14,2022-W32,93.0
ILI incidence,BE,2022-08-07,2022-W31,102.8
ILI incidence,BE,2022-07-31,2022-W30,127.4
ILI incidence,BE,2022-07-24,2022-W29,66.5
ILI incidence,BE,2022-07-17,2022-W28,89.4
ILI incidence,BE,2022-07-10,2022-W27,149.1
ILI incidence,BE,2022-07-03,2022-W26,189.8
ILI incidence,BE,2022-06-26,2022-W25,170.2
ILI incidence,BE,2022-06-19,2022-W24,128.2
ILI incidence,BE,2022-06-12,2022-W23,63.2
ILI incidence,BE,2022-06-05,2022-W22,61.2
ILI incidence,BE,2022-05-29,2022-W21,59.9
ILI incidence,BE,2022-05-22,2022-W20,107.8
ILI incidence,BE,2022-05-15,2022-W19,248.8
ILI incidence,BE,2022-05-08,2022-W18,178.2
ILI incidence,BE,2022-05-01,2022-W17,286.7
ILI incidence,BE,2022-04-24,2022-W16,257.2
ILI incidence,BE,2022-04-17,2022-W15,375.2
ILI incidence,BE,2022-04-10,2022-W14,538.2
ILI incidence,BE,2022-04-03,2022-W13,917.2
ILI incidence,BE,2022-03-27,2022-W12,858.2
ILI incidence,BE,2022-03-20,2022-W11,579.0
ILI incidence,BE,2022-03-13,2022-W10,516.4
ILI incidence,BE,2022-03-06,2022-W09,310.7
ILI incidence,BE,2022-02-27,2022-W08,229.8
ILI incidence,BE,2022-02-20,2022-W07,289.6
ILI incidence,BE,2022-02-13,2022-W06,274.8
ILI incidence,BE,2022-02-06,2022-W05,444.6
ILI incidence,BE,2022-01-30,2022-W04,663.3
ILI incidence,BE,2022-01-23,2022-W03,677.9
ILI incidence,BE,2022-01-16,2022-W02,383.1
ILI incidence,BE,2022-01-09,2022-W01,197.2
ILI incidence,BE,2022-01-02,2021-W52,201.9
ILI incidence,BE,2021-12-26,2021-W51,136.8
ILI incidence,BE,2021-12-19,2021-W50,170.5
ILI incidence,BE,2021-12-12,2021-W49,312.8
ILI incidence,BE,2021-12-05,2021-W48,499.9
ILI incidence,BE,2021-11-28,2021-W47,436.5
ILI incidence,BE,2021-11-21,2021-W46,269.2
ILI incidence,BE,2021-11-14,2021-W45,329.8
ILI incidence,BE,2021-11-07,2021-W44,333.3
ILI incidence,BE,2021-10-31,2021-W43,182.1
ILI incidence,BE,2021-10-24,2021-W42,207.6
ILI incidence,BE,2021-10-17,2021-W41,103.7
ILI incidence,BE,2021-10-10,2021-W40,112.9
ILI incidence,BE,2021-10-03,2021-W39,138.3
ILI incidence,BE,2021-09-26,2021-W38,85.5
ILI incidence,BE,2021-09-19,2021-W37,104.0
ILI incidence,BE,2021-09-12,2021-W36,64.0
ILI incidence,BE,2021-09-05,2021-W35,45.8
ILI incidence,BE,2021-08-29,2021-W34,77.8
ILI incidence,BE,2021-08-22,2021-W33,43.6
ILI incidence,BE,2021-08-15,2021-W32,43.5
ILI incidence,BE,2021-08-08,2021-W31,48.4
ILI incidence,BE,2021-08-01,2021-W30,46.1
ILI incidence,BE,2021-07-25,2021-W29,34.6
ILI incidence,BE,2021-07-18,2021-W28,30.1
ILI incidence,BE,2021-07-11,2021-W27,36.1
ILI incidence,BE,2021-07-04,2021-W26,21.8
ILI incidence,BE,2021-06-27,2021-W25,32.1
ILI incidence,BE,2021-06-20,2021-W24,50.4
ILI incidence,BE,2021-06-13,2021-W23,40.6
ILI incidence,BE,2021-06-06,2021-W22,61.8
ILI incidence,BE,2021-05-30,2021-W21,46.3
ILI incidence,BE,2021-05-23,2021-W20,77.2
ILI incidence,BE,2021-05-16,2021-W19,88.3
ILI incidence,BE,2021-05-09,2021-W18,73.6
ILI incidence,BE,2021-05-02,2021-W17,62.8
ILI incidence,BE,2021-04-25,2021-W16,126.6
ILI incidence,BE,2021-04-18,2021-W15,91.4
ILI incidence,BE,2021-04-11,2021-W14,102.7
ILI incidence,BE,2021-04-04,2021-W13,137.9
ILI incidence,BE,2021-03-28,2021-W12,182.2
ILI incidence,BE,2021-03-21,2021-W11,185.6
ILI incidence,BE,2021-03-14,2021-W10,174.2
ILI incidence,BE,2021-03-07,2021-W09,110.6
ILI incidence,BE,2021-02-28,2021-W08,99.4
ILI incidence,BE,2021-02-21,2021-W07,147.7
ILI incidence,BE,2021-02-14,2021-W06,65.2
ILI incidence,BE,2021-02-07,2021-W05,150.9
ILI incidence,BE,2021-01-31,2021-W04,173.7
ILI incidence,BE,2021-01-24,2021-W03,72.6
ILI incidence,BE,2021-01-17,2021-W02,122.9
ILI incidence,BE,2021-01-10,2021-W01,131.4
ILI incidence,BE,2021-01-03,2020-W53,55.4
ILI incidence,BE,2020-12-27,2020-W52,48.2
ILI incidence,BE,2020-12-20,2020-W51,142.4
ILI incidence,BE,2020-12-13,2020-W50,160.3
ILI incidence,BE,2020-12-06,2020-W49,177.0
ILI incidence,BE,2020-11-29,2020-W48,165.6
ILI incidence,BE,2020-11-22,2020-W47,204.6
ILI incidence,BE,2020-11-15,2020-W46,236.7
ILI incidence,BE,2020-11-08,2020-W45,265.2
ILI incidence,BE,2020-11-01,2020-W44,463.7
ILI incidence,BE,2020-10-25,2020-W43,462.9
ILI incidence,BE,2020-10-18,2020-W42,386.4
ILI incidence,BE,2020-10-11,2020-W41,161.7
ILI incidence,BE,2020-10-04,2020-W40,138.6
ILI incidence,BE,2020-09-27,2020-W39,165.3
ILI incidence,BE,2020-09-20,2020-W38,159.8
ILI incidence,BE,2020-09-13,2020-W37,206.5
ILI incidence,BE,2020-09-06,2020-W36,103.0
ILI incidence,BE,2020-08-30,2020-W35,36.0
ILI incidence,BE,2020-08-23,2020-W34,56.8
ILI incidence,BE,2020-08-16,2020-W33,32.4
ILI incidence,BE,2020-08-09,2020-W32,42.2
ILI incidence,BE,2020-08-02,2020-W31,44.0
ILI incidence,BE,2020-07-26,2020-W30,59.8
ILI incidence,BE,2020-07-19,2020-W29,60.0
ILI incidence,BE,2020-07-12,2020-W28,33.8
ILI incidence,BE,2020-07-05,2020-W27,45.1
ILI incidence,BE,2020-06-28,2020-W26,73.0
ILI incidence,BE,2020-06-21,2020-W25,85.2
ILI incidence,HR,2024-10-13,2024-W41,0.5
ILI incidence,HR,2024-10-06,2024-W40,0.2
ILI incidence,HR,2024-09-22,2024-W38,0.3
ILI incidence,HR,2024-09-15,2024-W37,0.2
ILI incidence,HR,2024-09-08,2024-W36,0.2
ILI incidence,HR,2024-09-01,2024-W35,0.0
ILI incidence,HR,2024-08-25,2024-W34,0.2
ILI incidence,HR,2024-08-18,2024-W33,0.1
ILI incidence,HR,2024-08-11,2024-W32,0.3
ILI incidence,HR,2024-08-04,2024-W31,0.1
ILI incidence,HR,2024-07-28,2024-W30,0.3
ILI incidence,HR,2024-07-21,2024-W29,0.1
ILI incidence,HR,2024-07-14,2024-W28,0.1
ILI incidence,HR,2024-07-07,2024-W27,0.1
ILI incidence,HR,2024-06-30,2024-W26,0.3
ILI incidence,HR,2024-06-23,2024-W25,1.4
ILI incidence,HR,2024-06-16,2024-W24,0.2
ILI incidence,HR,2024-06-09,2024-W23,0.3
ILI incidence,HR,2024-06-02,2024-W22,0.2
ILI incidence,HR,2024-05-26,2024-W21,0.2
ILI incidence,HR,2024-05-19,2024-W20,0.4
ILI incidence,HR,2024-05-12,2024-W19,0.5
ILI incidence,HR,2024-05-05,2024-W18,0.6
ILI incidence,HR,2024-04-28,2024-W17,0.6
ILI incidence,HR,2024-04-21,2024-W16,0.5
ILI incidence,HR,2024-04-14,2024-W15,0.5
ILI incidence,HR,2024-04-07,2024-W14,0.5
ILI incidence,HR,2024-03-31,2024-W13,1.1
ILI incidence,HR,2024-03-24,2024-W12,0.6
ILI incidence,HR,2024-03-17,2024-W11,4.2
ILI incidence,HR,2024-03-10,2024-W10,5.0
ILI incidence,HR,2024-03-03,2024-W09,11.1
ILI incidence,HR,2024-02-25,2024-W08,22.4
ILI incidence,HR,2024-02-18,2024-W07,46.0
ILI incidence,HR,2024-02-11,2024-W06,85.5
ILI incidence,HR,2024-02-04,2024-W05,86.7
ILI incidence,HR,2024-01-28,2024-W04,75.9
ILI incidence,HR,2024-01-21,2024-W03,54.3
ILI incidence,HR,2024-01-14,2024-W02,28.2
ILI incidence,HR,2024-01-07,2024-W01,18.3
ILI incidence,HR,2023-12-31,2023-W52,10.6
ILI incidence,HR,2023-12-24,2023-W51,8.0
ILI incidence,HR,2023-12-17,2023-W50,2.7
ILI incidence,HR,2023-12-10,2023-W49,0.9
ILI incidence,HR,2023-12-03,2023-W48,0.4
ILI incidence,HR,2023-11-26,2023-W47,0.3
ILI incidence,HR,2023-11-19,2023-W46,0.2
ILI incidence,HR,2023-11-12,2023-W45,0.2
ILI incidence,HR,2023-11-05,2023-W44,0.2
ILI incidence,HR,2023-10-29,2023-W43,0.3
ILI incidence,HR,2023-10-22,2023-W42,0.2
ILI incidence,HR,2023-10-15,2023-W41,0.2
ILI incidence,HR,2023-10-08,2023-W40,0.2
ILI incidence,HR,2023-09-03,2023-W35,0.4
ILI incidence,HR,2023-07-30,2023-W30,0.1
ILI incidence,HR,2023-07-02,2023-W26,0.6
ILI incidence,HR,2023-05-21,2023-W20,0.3
ILI incidence,HR,2023-05-14,2023-W19,0.5
ILI incidence,HR,2023-05-07,2023-W18,1.7
ILI incidence,HR,2023-04-30,2023-W17,1.5
ILI incidence,HR,2023-04-23,2023-W16,4.4
ILI incidence,HR,2023-04-16,2023-W15,6.8
ILI incidence,HR,2023-04-09,2023-W14,9.2
ILI incidence,HR,2023-04-02,2023-W13,12.6
ILI incidence,HR,2023-03-26,2023-W12,19.7
ILI incidence,HR,2023-03-19,2023-W11,24.0
ILI incidence,HR,2023-03-12,2023-W10,31.9
ILI incidence,HR,2023-03-05,2023-W09,57.1
ILI incidence,HR,2023-02-26,2023-W08,72.8
ILI incidence,HR,2023-02-19,2023-W07,89.4
ILI incidence,HR,2023-02-12,2023-W06,90.7
ILI incidence,HR,2023-02-05,2023-W05,102.1
ILI incidence,HR,2023-01-29,2023-W04,100.4
ILI incidence,HR,2023-01-22,2023-W03,101.9
ILI incidence,HR,2023-01-15,2023-W02,92.8
ILI incidence,HR,2023-01-08,2023-W01,52.5
ILI incidence,HR,2023-01-01,2022-W52,52.5
ILI incidence,HR,2022-12-25,2022-W51,17.9
ILI incidence,HR,2022-12-18,2022-W50,10.5
ILI incidence,HR,2022-12-11,2022-W49,2.8
ILI incidence,HR,2022-12-04,2022-W48,1.0
ILI incidence,HR,2022-11-27,2022-W47,0.5
ILI incidence,HR,2022-11-20,2022-W46,0.1
ILI incidence,HR,2022-11-13,2022-W45,0.2
ILI incidence,HR,2022-11-06,2022-W44,0.1
ILI incidence,HR,2022-10-30,2022-W43,0.0
ILI incidence,HR,2022-10-23,2022-W42,0.1
ILI incidence,HR,2022-10-16,2022-W41,0.1
ILI incidence,HR,2022-10-09,2022-W40,0.0
ILI incidence,HR,2022-10-02,2022-W39,0.0
ILI incidence,HR,2022-09-04,2022-W35,0.1
ILI incidence,HR,2022-07-31,2022-W30,0.0
ILI incidence,HR,2022-07-03,2022-W26,0.0
ILI incidence,HR,2022-05-22,2022-W20,0.1
ILI incidence,HR,2022-05-15,2022-W19,0.8
ILI incidence,HR,2022-05-08,2022-W18,1.2
ILI incidence,HR,2022-05-01,2022-W17,2.5
ILI incidence,HR,2022-04-24,2022-W16,4.7
ILI incidence,HR,2022-04-17,2022-W15,4.8
ILI incidence,HR,2022-04-10,2022-W14,18.8
ILI incidence,HR,2022-04-03,2022-W13,29.8
ILI incidence,HR,2022-03-27,2022-W12,12.2
ILI incidence,HR,2022-03-20,2022-W11,14.8
ILI incidence,HR,2022-03-13,2022-W10,6.4
ILI incidence,HR,2022-03-06,2022-W09,6.0
ILI incidence,HR,2022-02-27,2022-W08,3.9
ILI incidence,HR,2022-02-20,2022-W07,3.1
ILI incidence,HR,2022-02-13,2022-W06,2.5
ILI incidence,HR,2022-02-06,2022-W05,1.5
ILI incidence,HR,2022-01-30,2022-W04,2.7
ILI incidence,HR,2022-01-23,2022-W03,2.7
ILI incidence,HR,2022-01-16,2022-W02,1.7
ILI incidence,HR,2022-01-09,2022-W01,0.4
ILI incidence,HR,2022-01-02,2021-W52,0.1
ILI incidence,HR,2021-12-26,2021-W51,0.1
ILI incidence,HR,2021-12-19,2021-W50,0.1
ILI incidence,HR,2021-12-12,2021-W49,0.1
ILI incidence,HR,2021-12-05,2021-W48,0.0
ILI incidence,HR,2021-11-28,2021-W47,0.4
ILI incidence,HR,2021-11-21,2021-W46,0.0
ILI incidence,HR,2021-11-14,2021-W45,0.0
ILI incidence,HR,2021-11-07,2021-W44,0.4
ILI incidence,HR,2021-10-31,2021-W43,0.2
ILI incidence,HR,2021-10-24,2021-W42,0.0
ILI incidence,HR,2021-10-17,2021-W41,0.3
ILI incidence,HR,2021-10-10,2021-W40,0.3
ILI incidence,CZ,2024-10-13,2024-W41,20.5
ILI incidence,CZ,2024-10-06,2024-W40,19.4
ILI incidence,CZ,2024-09-29,2024-W39,17.0
ILI incidence,CZ,2024-09-22,2024-W38,13.5
ILI incidence,CZ,2024-09-15,2024-W37,11.1
ILI incidence,CZ,2024-09-08,2024-W36,6.5
ILI incidence,CZ,2024-09-01,2024-W35,3.4
ILI incidence,CZ,2024-08-25,2024-W34,5.5
ILI incidence,CZ,2024-08-18,2024-W33,3.7
ILI incidence,CZ,2024-08-11,2024-W32,3.2
ILI incidence,CZ,2024-08-04,2024-W31,3.9
ILI incidence,CZ,2024-07-28,2024-W30,5.5
ILI incidence,CZ,2024-07-21,2024-W29,4.6
ILI incidence,CZ,2024-07-14,2024-W28,5.4
ILI incidence,CZ,2024-07-07,2024-W27,4.3
ILI incidence,CZ,2024-06-30,2024-W26,5.8
ILI incidence,CZ,2024-06-23,2024-W25,5.6
ILI incidence,CZ,2024-06-16,2024-W24,9.1
ILI incidence,CZ,2024-06-09,2024-W23,8.4
ILI incidence,CZ,2024-06-02,2024-W22,6.9
ILI incidence,CZ,2024-05-26,2024-W21,10.6
ILI incidence,CZ,2024-05-19,2024-W20,11.4
ILI incidence,CZ,2024-05-12,2024-W19,8.2
ILI incidence,CZ,2024-05-05,2024-W18,9.1
ILI incidence,CZ,2024-04-28,2024-W17,11.2
ILI incidence,CZ,2024-04-21,2024-W16,14.5
ILI incidence,CZ,2024-04-14,2024-W15,14.9
ILI incidence,CZ,2024-04-07,2024-W14,17.7
ILI incidence,CZ,2024-03-31,2024-W13,17.2
ILI incidence,CZ,2024-03-24,2024-W12,24.9
ILI incidence,CZ,2024-03-17,2024-W11,33.5
ILI incidence,CZ,2024-03-10,2024-W10,46.1
ILI incidence,CZ,2024-03-03,2024-W09,71.4
ILI incidence,CZ,2024-02-25,2024-W08,103.4
ILI incidence,CZ,2024-02-18,2024-W07,152.2
ILI incidence,CZ,2024-02-11,2024-W06,182.7
ILI incidence,CZ,2024-02-04,2024-W05,176.9
ILI incidence,CZ,2024-01-28,2024-W04,108.8
ILI incidence,CZ,2024-01-21,2024-W03,68.4
ILI incidence,CZ,2024-01-14,2024-W02,43.5
ILI incidence,CZ,2024-01-07,2024-W01,40.3
ILI incidence,CZ,2023-12-31,2023-W52,29.3
ILI incidence,CZ,2023-12-24,2023-W51,42.2
ILI incidence,CZ,2023-12-17,2023-W50,41.7
ILI incidence,CZ,2023-12-10,2023-W49,36.7
ILI incidence,CZ,2023-12-03,2023-W48,27.7
ILI incidence,CZ,2023-11-26,2023-W47,22.5
ILI incidence,CZ,2023-11-19,2023-W46,12.4
ILI incidence,CZ,2023-11-12,2023-W45,17.4
ILI incidence,CZ,2023-11-05,2023-W44,14.9
ILI incidence,CZ,2023-10-29,2023-W43,14.0
ILI incidence,CZ,2023-10-22,2023-W42,13.8
ILI incidence,CZ,2023-10-15,2023-W41,11.9
ILI incidence,CZ,2023-10-08,2023-W40,10.2
ILI incidence,CZ,2023-10-01,2023-W39,7.3
